HO DATE,STATION, SERIES,VOUCHER NO,DCR DATE,ACC NAME,SUB HEAD,NARRATION,AMOUNT
01/01/2021,PTP,DPDEC20,12664,24/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT PTP DT:24/12/20,-312.00
01/01/2021,HASK,DPDEC20,13441,25/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT HASK DT:25/12/20
",-98.00
01/01/2021,HIDG,DPDEC20,14054,26/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT  HIDG DT:26/12/20
",-613.00
01/01/2021,HVPS,CRDEC20,2301,26/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:HVPS DT:26-12-20
",718.00
01/01/2021,PTP,DPDEC20,13697,26/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT PTP DT:26/12/20,-157.00
01/01/2021,AMK,CRDEC20,2372,27/12/2020,Freight Collection O.S Others,,Recovery Of Cc Amount At:amk Dt:27-12-20,18.00
01/01/2021,VGD,DPDEC20,13723,26/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT VGD DT:26/12/20
",-111.00
01/01/2021,CDP,DPDEC20,13799,26/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT CDP DT:26/12/20
",-27.00
01/01/2021,BLKL,DPDEC20,13849,26/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT BLKL DT:26/12/20,-404.00
01/01/2021,MDM,CRDEC20,2358,27/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:MDM DT:27-12-20
",86.00
01/01/2021,TTRJ,DPDEC20,14267,26/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT TTRJ DT:26/12/20,-373.00
01/01/2021,BBG,DPDEC20,13735,26/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT BBG DT:26/12/20,-229.00
01/01/2021,HMLK,DPDEC20,13875,26/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT HMLK DT:26/12/20
",-147.00
01/01/2021,PGT,DPDEC20,13348,25/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT PGT DT:25/12/20,-824.00
01/01/2021,RJY,DPDEC20,13350,25/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT RJY DT:25/12/20
",-200.00
01/01/2021,CDP,DPDEC20,14044,27/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT CDP DT:27/12/20
",-267.00
01/01/2021,VGD,CRDEC20,2347,27/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:VGD DT:27-12-20
",565.00
01/01/2021,GID,CRDEC20,2513,29/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:GID DT:29-12-20
",135.00
01/01/2021,CDP,DPDEC20,13844,26/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT CDP DT:26/12/20
",-256.00
01/01/2021,PDP,DPDEC20,12386,23/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT PDP DT:23/12/20
",-597.00
01/01/2021,MDM,DPDEC20,14111,27/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT MDM DT:27/12/20
",-192.00
01/01/2021,RMYP,DPDEC20,12774,24/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT  RMYP DT:24/12/20
",-610.00
01/01/2021,HMLK,DPDEC20,12166,23/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT HMLK DT:23/12/20
",-362.00
01/01/2021,RMYP,DPDEC20,13285,25/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT RMYP DT:25/12/20
",-274.00
01/01/2021,VZR,DPDEC20,16352,31/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT VZR DT:31/12/20
",-900.00
01/01/2021,HYTR,DJJAN21,659,01/01/2021,Freight Collection O.S Others,,"PAYMENT OF PVT COOLI FOR HYTR & HYN GODOWN CLEANING PURPOSE ON DT:01/01/2021 AT HYTR DT:01-01-21.
",-550.00
01/01/2021,RCTR,DJJAN21,1178,01/01/2021,Freight Collection O.S Others,,"ciltd godon dt:-31/12/2020 2no of hamalis parday parherd hamalis charge for
",-660.00
,,,,,,,"Rs.330/-only AT RCTR DT:01-01-21.

",
01/01/2021,NPM,CRDEC20,2669,30/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:NPM DT:30-12-20
",37.00
01/01/2021,MLVM,CRDEC20,2536,29/12/2020,Freight Collection O.S Others,,RECOVERY OF CC AMOUNT AT:MLVM DT:29-12-20,174.00
01/01/2021,VZI,DPDEC20,16220,31/12/2020,Freight Collection O.S Others,,"PAYMENT OF VZI BRANCH BATHROOM CLEANING CHARGES AT VZI DT:31/12/20
",-50.00
01/01/2021,HYTR,DJJAN21,743,01/01/2021,Freight Collection O.S Others,,"PAYMENT OF PVT COOLIE HAMALIES AUTO CHARGES ON DT:31/12/2020 AT HYTR DT:01-01-21
",-260.00
01/01/2021,VZS,DPDEC20,15797,30/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT VZS DT:30/12/20,-89.00
01/01/2021,VZA,DPDEC20,16398,31/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT VZA DT:31/12/20
",-18.00
01/01/2021,HYTR,DJJAN21,745,01/01/2021,Freight Collection O.S Others,,PAYMENT OF HANDLING CHARGES FOR NOVATURE DBC PURPOSE AT HYTR DT:01-01-21 ,-280.00
01/01/2021,VZM,DPDEC20,15619,30/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT VZM DT:30/12/20,-138.00
01/01/2021,STNM,DPDEC20,12270,23/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT STNM DT:23/12/20
",-248.00
01/01/2021,MLVM,DPDEC20,15036,29/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT  MLVM DT:29/12/20
",-165.00
01/01/2021,HYA,DPDEC20,13339,25/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT HYA DT:25//12/20
",-50.00
01/01/2021,BLKL,DPDEC20,13353,25/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT BLKL DT:25/12/20
",-539.00
01/01/2021,BHWD,DPDEC20,13762,26/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT BHWD DT:26/12/20,-3000.00
01/01/2021,KUKP,DPDEC20,13557,25/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT KUKP DT:25/12/20
",-762.00
01/01/2021,KALR,CRDEC20,2500,29/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:KALR DT:29-12-20

",122.00
01/01/2021,MDM,CRDEC20,2445,28/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:MDM DT:28-12-20
",105.00
01/01/2021,PTP,DPDEC20,13240,25/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT PTP DT:25/12/20,-238.00
01/01/2021,BLHS,DPDEC20,13250,25/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT BLHS DT:25/12/20
",-250.00
01/01/2021,VGD,CRDEC20,2302,26/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:VGD DT:26-12-20
",134.00
01/01/2021,STNM,DPDEC20,11415,22/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT STNM DT:22/12/20
",-488.00
01/01/2021,RMYP,CRDEC20,2054,23/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:RMYP DT:23-12-20
",205.00
01/01/2021,MUDN,CRDEC20,1996,23/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:MUDN DT:23-12-20
",145.00
01/01/2021,HSSN,DPDEC20,12284,23/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT HSSN DT:23/12/20,-359.00
01/01/2021,TTRJ,DPDEC20,12926,24/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT TTRJ DT:24/12/20,-612.00
01/01/2021,HKBG,DPDEC20,13779,26/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT HKBG DT:26/12/20
",-577.00
01/01/2021,ECD,DPDEC20,11985,23/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT ECD DT:23/12/20
",-19.00
01/01/2021,HMLK,DPDEC20,12653,24/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT HMLK DT:24/12/20,-250.00
01/01/2021,MDM,DPDEC20,14783,28/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT MDM DT:28/12/20
",-74.00
01/01/2021,GOL,DPDEC20,11909,23/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT GOL DT:23/12/20,-240.00
01/01/2021,MKL,DPDEC20,12618,24/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT MKL DT:24/12/20,-324.00
01/01/2021,KOLK,DPDEC20,13913,26/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT KOLK DT:26/12/20
",-153.00
01/01/2021,MKL,DPDEC20,13765,26/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT MKL DT:26/12/20,-443.00
01/01/2021,GOL,DPDEC20,13781,26/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT GOL DT:26/12/20,-375.00
01/01/2021,RMYP,DPDEC20,12099,23/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT RMYP DT:23/12/20
",-326.00
01/01/2021,KOLK,DPDEC20,14445,28/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT KOLK DT:28/12/20
",-29.00
01/01/2021,HMLK,DPDEC20,12165,23/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT HMLK DT:23/12/20,-250.00
01/01/2021,INDN,DPDEC20,9756,19/12/2020,Freight Collection O.S Others,,payment of cc amount at indn dt:19/12/20,-250.00
01/01/2021,HMLK,DPDEC20,13245,25/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT HMLK DT:25/12/20,-250.00
01/01/2021,PDP,CRDEC20,2093,23/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:PDP DT:23-12-20
",515.00
01/01/2021,AAP,DPDEC20,13624,26/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT AAP DT:26/12/20
",-175.00
01/01/2021,PGT,DPDEC20,13757,26/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT PGT DT:26/12/20,-455.00
01/01/2021,MKL,CRDEC20,2311,26/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:MKL DT:26-12-20
",28.00
01/01/2021,INDN,DPDEC20,9753,19/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT  INDN DT:19/12/20,-500.00
01/01/2021,TTRJ,DPDEC20,12559,23/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT TTRJ DT:23/12/20,-369.00
01/01/2021,MUDN,DPDEC20,11736,23/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT MUDN DT:23/12/20,-166.00
01/01/2021,RJY,DPDEC20,12852,24/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT RJY DT:24/12/20
",-294.00
01/01/2021,MGBA,DPDEC20,10607,21/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT MGBA DT:21/12/20
",-221.00
01/01/2021,TTRJ,DPDEC20,13435,25/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT TTRJ DT:5/12/20,-193.00
